t: 15.010, QMV: 0.2, LVP: 3.66, LAP: 3.44, VLV: 77.8, phi: 18.763
t: 15.018, QMV: 0.0, LVP: 3.64, LAP: 3.57, VLV: 77.8, phi: 18.773
t: 15.026, QMV: 0.1, LVP: 3.62, LAP: 3.69, VLV: 77.8, phi: 18.783
t: 15.034, QMV: 1.0, LVP: 3.61, LAP: 3.80, VLV: 77.8, phi: 18.793
t: 15.042, QMV: 7.2, LVP: 3.60, LAP: 5.46, VLV: 77.9, phi: 18.803
t: 15.050, QMV: 21.7, LVP: 3.61, LAP: 5.69, VLV: 78.0, phi: 18.813
t: 15.060, QMV: 41.1, LVP: 3.66, LAP: 5.88, VLV: 78.3, phi: 18.825
t: 15.068, QMV: 56.4, LVP: 3.73, LAP: 5.94, VLV: 78.7, phi: 18.835
t: 15.076, QMV: 70.7, LVP: 3.83, LAP: 5.93, VLV: 79.2, phi: 18.845
t: 15.084, QMV: 83.3, LVP: 3.96, LAP: 5.85, VLV: 79.8, phi: 18.855
t: 15.092, QMV: 93.5, LVP: 4.11, LAP: 5.72, VLV: 80.5, phi: 18.865
t: 15.100, QMV: 100.8, LVP: 4.27, LAP: 5.55, VLV: 81.3, phi: 18.875
t: 15.110, QMV: 105.4, LVP: 4.50, LAP: 5.31, VLV: 82.3, phi: 18.888
t: 15.118, QMV: 104.8, LVP: 4.69, LAP: 5.09, VLV: 83.2, phi: 18.898
t: 15.126, QMV: 99.6, LVP: 4.87, LAP: 4.85, VLV: 84.0, phi: 18.908
t: 15.134, QMV: 89.6, LVP: 5.05, LAP: 4.59, VLV: 84.8, phi: 18.918
t: 15.142, QMV: 74.5, LVP: 5.20, LAP: 4.33, VLV: 85.4, phi: 18.928
t: 15.150, QMV: 54.5, LVP: 5.33, LAP: 4.07, VLV: 85.9, phi: 18.938
t: 15.160, QMV: 25.5, LVP: 5.42, LAP: 3.78, VLV: 86.3, phi: 18.950
t: 15.168, QMV: 5.5, LVP: 5.45, LAP: 3.58, VLV: 86.5, phi: 18.960
t: 15.176, QMV: 0.3, LVP: 5.45, LAP: 3.43, VLV: 86.5, phi: 18.970
t: 15.184, QMV: 0.0, LVP: 5.44, LAP: 3.32, VLV: 86.5, phi: 18.980
t: 15.192, QMV: -0.0, LVP: 5.44, LAP: 3.26, VLV: 86.5, phi: 18.990
